17[0, 19, 57, 0, 0, 0, 0, 0, 9, 113, 94, 0, 0, 0, 0, 0, 8, 21, 2, 0, 3, 27, 2, 0, 0, 0, 0, 0, 10, 159, 22, 0, 29, 81, 73, 0, 0, 0, 1, 7, 159, 159, 87, 0, 0, 0, 1, 20, 126, 43, 0, 0, 0, 1, 0, 2, 1, 0, 0, 0, 0, 14, 9, 0, 31, 9, 1, 0, 0, 0, 71, 80, 159, 25, 1, 0, 0, 0, 81, 159, 131, 2, 0, 0, 0, 0, 0, 42, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 63, 21, 11, 0, 0, 0, 0, 0, 99, 124, 10, 0, 0, 0, 0, 0, 2, 24, 0, 0, 0, 0, 0, 0, 0, 0;
  24, 150, 11, 0, 4, 8, 0, 0, 13, 150, 8, 0, 0, 0, 0, 0, 5, 14, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 150, 21, 38, 48, 18, 0, 8, 150, 150, 9, 0, 0, 0, 0, 17, 81, 28, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 30, 6, 10, 30, 10, 0, 19, 150, 150, 14, 0, 0, 0, 0, 7, 150, 78, 1, 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 117, 150, 11, 0, 0, 0, 0, 0, 9, 150, 4, 0, 2, 1, 0, 0, 1, 13, 0, 0, 3, 0, 0, 0, 0, 0;
  3, 76, 160, 11, 1, 1, 0, 0, 46, 160, 44, 0, 0, 0, 0, 0, 21, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 55, 39, 41, 14, 48, 31, 2, 2, 160, 117, 6, 0, 0, 0, 0, 13, 130, 22, 0, 0, 0, 0, 0, 6, 1, 0, 0, 20, 7, 0, 0, 0, 57, 2, 0, 51, 45, 5, 0, 68, 160, 10, 0, 0, 0, 0, 0, 144, 123, 5, 0, 0, 1, 0, 0, 26, 1, 0, 0, 17, 48, 12, 0, 0, 6, 0, 0, 9, 1, 0, 1, 160, 39, 0, 0, 0, 0, 0, 0, 160, 16, 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 10, 16, 0, 0;
  9, 0, 0, 7, 119, 39, 0, 2, 124, 0, 0, 0, 8, 2, 0, 52, 99, 2, 3, 1, 1, 0, 3, 54, 1, 0, 2, 19, 84, 1, 1, 5, 22, 0, 0, 28, 124, 0, 0, 3, 124, 20, 7, 4, 7, 0, 0, 29, 81, 21, 110, 42, 0, 0, 0, 7, 0, 1, 97, 88, 56, 0, 0, 0, 14, 4, 0, 9, 124, 62, 0, 0, 88, 92, 42, 10, 4, 9, 1, 4, 11, 24, 113, 91, 0, 0, 7, 44, 1, 2, 66, 34, 5, 9, 72, 50, 0, 1, 0, 0, 35, 124, 10, 0, 4, 15, 8, 1, 6, 54, 68, 53, 3, 4, 8, 3, 0, 0, 42, 124, 0, 0, 0, 0, 0, 3, 66, 96;
  3, 81, 157, 12, 6, 9, 1, 0, 58, 127, 31, 2, 3, 32, 61, 36, 24, 9, 0, 0, 0, 1, 36, 83, 0, 0, 0, 0, 0, 0, 0, 3, 67, 57, 73, 2, 3, 4, 0, 1, 157, 124, 7, 0, 0, 0, 0, 11, 124, 16, 0, 0, 0, 0, 0, 8, 1, 0, 0, 0, 0, 0, 0, 0, 75, 2, 0, 0, 20, 9, 3, 69, 157, 12, 0, 0, 0, 0, 0, 138, 119, 6, 0, 0, 0, 0, 0, 23, 1, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 6, 18, 59, 157, 46, 0, 0, 0, 0, 0, 2, 157, 17, 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0;
  45, 147, 5, 1, 9, 7, 0, 1, 12, 147, 1, 0, 0, 0, 0, 0, 4, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 147, 22, 45, 51, 14, 0, 9, 147, 147, 3, 0, 0, 0, 0, 19, 73, 27, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 30, 6, 13, 34, 7, 0, 38, 147, 147, 15, 0, 0, 0, 0, 1, 147, 69, 2, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 147, 147, 6, 0, 2, 2, 0, 0, 9, 147, 4, 1, 20, 5, 0, 0, 0, 11, 0, 4, 13, 0, 0, 0, 0, 0;
  3, 72, 153, 4, 1, 1, 0, 0, 36, 153, 44, 0, 0, 0, 0, 0, 15, 28, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 0, 0, 0, 0, 59, 52, 58, 15, 47, 24, 2, 1, 153, 130, 8, 0, 0, 0, 0, 6, 106, 20, 0, 2, 1, 0, 0, 2, 1, 0, 3, 66, 16, 0, 0, 0, 64, 1, 0, 49, 43, 5, 1, 100, 153, 1, 0, 0, 0, 0, 0, 153, 94, 0, 0, 2, 7, 2, 0, 25, 0, 0, 0, 46, 103, 27, 0, 0, 11, 0, 0, 7, 0, 0, 3, 153, 30, 0, 0, 0, 0, 0, 1, 153, 10, 0, 0, 0, 1, 2, 0, 24, 0, 0, 0, 0, 17, 24, 0, 0;
  28, 13, 0, 1, 2, 78, 25, 3, 0, 0, 0, 5, 44, 125, 11, 0, 3, 0, 0, 1, 21, 74, 19, 72, 8, 0, 0, 0, 0, 0, 1, 112, 23, 125, 23, 15, 8, 6, 0, 0, 5, 9, 11, 110, 125, 34, 1, 1, 93, 3, 0, 22, 43, 19, 12, 125, 36, 0, 0, 0, 0, 0, 1, 125, 0, 125, 56, 9, 2, 18, 3, 0, 19, 42, 74, 99, 63, 0, 0, 1, 125, 25, 4, 16, 12, 0, 0, 13, 80, 3, 0, 0, 0, 0, 0, 9, 0, 16, 12, 0, 0, 125, 44, 1, 14, 13, 35, 14, 0, 9, 90, 33, 125, 10, 3, 2, 0, 0, 17, 99, 49, 2, 0, 0, 0, 0, 0, 15;
  0, 0, 1, 45, 100, 17, 0, 0, 2, 0, 29, 96, 75, 26, 8, 16, 4, 15, 49, 16, 0, 14, 75, 31, 0, 40, 69, 1, 0, 30, 46, 0, 0, 0, 0, 1, 89, 74, 0, 0, 33, 3, 0, 1, 114, 114, 7, 21, 114, 9, 0, 0, 3, 22, 83, 68, 10, 0, 1, 0, 1, 114, 114, 10, 0, 0, 0, 15, 58, 19, 0, 0, 24, 11, 4, 56, 114, 53, 1, 3, 114, 92, 19, 6, 11, 5, 3, 18, 22, 45, 34, 1, 6, 30, 17, 7, 0, 0, 0, 38, 47, 0, 0, 0, 2, 11, 10, 112, 110, 0, 0, 0, 9, 114, 76, 13, 5, 0, 0, 0, 1, 102, 114, 1, 0, 0, 0, 0;
  2, 88, 150, 13, 25, 18, 1, 0, 42, 63, 28, 4, 17, 48, 73, 53, 14, 2, 0, 0, 0, 0, 21, 56, 0, 0, 0, 0, 0, 0, 0, 0, 59, 91, 110, 1, 8, 12, 0, 1, 150, 137, 16, 0, 0, 0, 2, 10, 108, 9, 0, 0, 0, 0, 1, 14, 1, 0, 0, 0, 0, 0, 0, 0, 74, 3, 1, 0, 44, 36, 16, 95, 150, 4, 0, 0, 0, 0, 1, 150, 100, 1, 0, 0, 0, 0, 0, 24, 1, 0, 0, 0, 0, 0, 0, 0, 8, 2, 0, 0, 11, 36, 95, 150, 34, 0, 0, 0, 0, 0, 7, 150, 10, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0;
